RSI,超买,超买Deltea,ATR,下影线百分比,前值数,均线,初始均线下止损,初始均线上止损,初始均线下止盈,初始均线上止盈,均线下止损,均线上止损,均线下止盈,均线上止盈,杠杆,费率,最终盈利,最大盈利,平均盈利,最大亏损,平均亏损,期望收益,盈亏比,最大回撤,回撤时间,回报回撤,交易总数,胜率
6,25,0,6,55,5,55,1.2,3,1.2,3,1.9,5,2,5,50,222.75993045810807,2203.706340168339,955.7741877907748,141.2674361645288,-136.95523919398076,-31.65467395537734,7.87,1.32,0.39%,40235,1.00,280,0.23
6,25,0,6,55,5,55,1.2,3,1.2,3,3.8,5,2,5,50,234.96772891964105,2198.3065391601567,955.7741877907748,139.84624416509297,-136.95523919398076,-38.63486580074716,8.86,1.31,0.40%,20732,0.98,248,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,3.6,5,2,5,50,233.9609108759335,2194.501905851252,955.7741877907748,139.70076035043834,-136.95523919398076,-38.39206708894908,8.81,1.31,0.40%,20732,0.98,249,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,4.0,5,2,5,50,235.4311890173874,2186.860995783216,955.7741877907748,141.68152843811006,-136.95523919398076,-39.01354640385524,8.93,1.31,0.40%,23700,0.97,245,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,3.3,5,2,5,50,234.46559922857554,2186.259408868219,955.7741877907748,141.76935309755714,-136.95523919398076,-37.58689060145988,8.68,1.31,0.40%,20732,0.97,252,0.26
6,25,0,6,55,5,55,1.2,3,1.2,3,3.2,5,2,5,50,234.46574541841224,2183.634985624403,955.7741877907748,139.62309596107312,-136.95523919398076,-37.60154731447287,8.63,1.31,0.40%,20732,0.97,253,0.26
6,25,0,6,55,5,55,1.2,3,1.2,3,3.9,5,2,5,50,235.9714189320122,2183.602459149209,955.7741877907748,139.58991752610405,-136.95523919398076,-39.051844986520344,8.88,1.31,0.40%,23690,0.97,246,0.27
6,25,0,6,55,5,55,1.2,3,1.2,3,1.8,5,2,5,50,221.7431724580813,2148.8279690486443,955.7741877907748,143.5986566341491,-136.95523919398076,-31.641685316067655,7.65,1.31,0.39%,40235,0.98,281,0.22
6,25,0,6,55,5,55,1.2,3,1.2,3,2.7,5,2,5,50,230.4492279561301,2144.414866898252,955.7741877907748,142.50726141936914,-136.95523919398076,-35.59209114255804,8.25,1.31,0.40%,20732,0.96,260,0.25
6,25,0,6,55,5,55,1.2,3,1.2,3,2.8,5,2,5,50,231.9673431541481,2141.1199726934437,955.7741877907748,142.99466409119927,-136.95523919398076,-35.951479636632364,8.27,1.31,0.40%,19502,0.95,259,0.25
